Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
CHE,8950,,Kitchens Christopher L (0909-CECAS),48, 0,0,0,0,0,0,0,0,100.00,0
CHE,9910,,Blenner Mark Alan (0909-CECAS),7, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Bruce David A (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Davis Eric Mikel (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Getman Rachel B (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Husson Scott M (0909-CECAS),6, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Kitchens Christopher L (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Ogale Amod A (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Roberts Mark E (0909-CECAS),13, 0,0,0,0,0,0,0,0,100.00,0
CHE,9910,,Sarupria Sapna  (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Scott Joseph K (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,9910,,Thies Mark C (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
""
CE,1990,,Dancz Claire Louise Antaya (0956-CECAS),2, #,#,#,#,#,#,#,#,#,#
CE,1990,,Pang Weichiang  (0911-CECAS),14, 85.71,0,0,0,0,14.29,0,0,0,0
CE,1990,,Putman Bradley J (0901-CECAS),20, 90.00,0,0,0,0,10.00,0,0,0,0
CE,2010,,Chen Qiushi  (0911-CECAS),48, 45.83,20.83,12.50,8.33,6.25,6.25,0,0,0,0
CE,2010,,Mahmoudabadi Arani Vahidreza  (0911-CECAS),44, 27.27,29.55,25.00,4.55,6.82,6.82,0,0,0,0
CE,2010,,Nilsson R Kent (0911-CECAS),49, 10.20,36.73,28.57,4.08,8.16,12.24,0,0,0,0
CE,2010,,Soltani Mahmoodreza  (0503-CAAH),44, 43.18,36.36,15.91,0,2.27,2.27,0,0,0,0
CE,2010,,Sternhagen Melissa M (0911-CECAS),155, 18.06,24.52,18.06,8.39,8.39,22.58,0,0,0,0
CE,2010,H,Sternhagen Melissa M (0911-CECAS),7, #,#,#,#,#,#,#,#,#,#
CE,2060,,Soltani Mahmoodreza  (0503-CAAH),64, 40.63,32.81,21.88,1.56,1.56,1.56,0,0,0,0
CE,2080,,Sternhagen Melissa M (0911-CECAS),59, 6.78,28.81,33.90,20.34,5.08,5.08,0,0,0,0
CE,2550,,Sarasua Wayne A (0911-CECAS),83, 30.12,44.58,20.48,3.61,1.20,0,0,0,0,0
CE,2990,,Dancz Claire Louise Antaya (0956-CECAS),4, #,#,#,#,#,#,#,#,#,#
CE,2990,,Pang Weichiang  (0911-CECAS),3, #,#,#,#,#,#,#,#,#,#
CE,2990,,Putman Bradley J (0901-CECAS),1, #,#,#,#,#,#,#,#,#,#
CE,3010,,Cousins Thomas Edford (0911-CECAS),36, 41.67,36.11,11.11,5.56,2.78,2.78,0,0,0,0
CE,3010,,Csernak Stephen F (0911-CECAS),37, 35.14,32.43,24.32,8.11,0,0,0,0,0,0
CE,3110,,Ogle Jennifer H (0911-CECAS),51, 70.59,23.53,5.88,0,0,0,0,0,0,0
CE,3210,,Chen Qiushi  (0911-CECAS),42, 21.43,23.81,33.33,14.29,7.14,0,0,0,0,0
