Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
FIN,3110,,Lockhart George Brandon (1323-CBUS),43, 25.58,27.91,16.28,6.98,6.98,16.28,0,0,0,0
FIN,3110,,Wolf Jack G. (1323-CBUS),82, 4.88,21.95,34.15,4.88,13.41,20.73,0,0,0,0
FIN,3110,,Xu Weike  (1323-CBUS),67, 13.43,28.36,35.82,14.93,4.48,1.49,1.49,0,0,0
FIN,3110,H,Wolf Jack G. (1323-CBUS),3, #,#,#,#,#,#,#,#,#,#
FIN,3120,,Intintoli Vincent James (1323-CBUS),74, 13.51,33.78,27.03,14.86,4.05,4.05,2.70,0,0,0
FIN,3120,,Xu Weike  (1323-CBUS),43, 16.28,34.88,23.26,16.28,2.33,4.65,2.33,0,0,0
FIN,3120,,Zykaj Blerina  (1323-CBUS),30, 23.33,16.67,43.33,10.00,3.33,3.33,0,0,0,0
FIN,3120,H,Intintoli Vincent James (1323-CBUS),6, #,#,#,#,#,#,#,#,#,#
FIN,4010,,Lockhart George Brandon (1323-CBUS),30, 56.67,30.00,13.33,0,0,0,0,0,0,0
FIN,4020,,Morgan Angela G. (1323-CBUS),49, 32.65,36.73,22.45,4.08,2.04,0,2.04,0,0,0
FIN,4020,H,Morgan Angela G. (1323-CBUS),8, #,#,#,#,#,#,#,#,#,#
FIN,4050,,Alexander John C (1323-CBUS),30, 3.33,23.33,43.33,13.33,3.33,13.33,0,0,0,0
FIN,4050,H,Alexander John C (1323-CBUS),2, #,#,#,#,#,#,#,#,#,#
FIN,4060,,Zykaj Blerina  (1323-CBUS),20, 25.00,40.00,35.00,0,0,0,0,0,0,0
FIN,4060,H,Zykaj Blerina  (1323-CBUS),3, #,#,#,#,#,#,#,#,#,#
FIN,4110,,DeVault Luke Asher (1323-CBUS),54, 20.37,44.44,25.93,3.70,1.85,3.70,0,0,0,0
FIN,4170,,Shen Yannan  (1323-CBUS),15, 26.67,46.67,20.00,0,6.67,0,0,0,0,0
FIN,4980,,Harris Joshua W (1323-CBUS),4, #,#,#,#,#,#,#,#,#,#
FIN,4980,,Wolf Jack G. (1323-CBUS),14, 78.57,14.29,0,0,0,7.14,0,0,0,0
""
GC,1010,,Leininger John M (1353-CBUS),91, 54.95,29.67,2.20,1.10,4.40,7.69,0,0,0,0
GC,1020,,Jones Carol D (1353-CBUS),101, 55.45,29.70,4.95,2.97,1.98,4.95,0,0,0,0
GC,1020,H,Jones Carol D (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,1030,,Jacobs John J (1353-CBUS),19, 21.05,47.37,31.58,0,0,0,0,0,0,0
GC,1040,,Edlein Rebecca Suzanne (1353-CBUS),61, 47.54,26.23,13.11,0,6.56,3.28,3.28,0,0,0
GC,1990,,O'Hara Liam Henry (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,1990,,Woolbright Nona L (1353-CBUS),2, #,#,#,#,#,#,#,#,#,#
GC,2070,,Weiss Charles Tabor (1353-CBUS),50, 66.00,22.00,8.00,2.00,0,2.00,0,0,0,0
GC,2400,,Walker Erica Black (1353-CBUS),7, #,#,#,#,#,#,#,#,#,#
